                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.2281,                0.71644,                 1.3469,                0.87141,                0.77336,                 0.8846,                0.55183,                 1.6455,                0.85657,                 1.6441,               0.003763,               0.003763,               0.003763
                     66,                 1.2163,                0.70821,                 1.3511,                0.86938,                0.78067,                0.89142,                0.54443,                 1.6284,                0.86765,                 1.6229,               0.003664,               0.003664,               0.003664
                     67,                 1.1885,                0.69937,                 1.3358,                0.83404,                0.79722,                 0.8813,                 0.5538,                 1.6125,                 0.8821,                 1.6018,               0.003565,               0.003565,               0.003565
                     68,                 1.1979,                 0.7032,                 1.3269,                0.85244,                0.79324,                0.87991,                 0.5406,                 1.6519,                0.86706,                 1.6341,               0.003466,               0.003466,               0.003466
                     69,                 1.1957,                0.68894,                 1.3248,                0.84242,                0.79713,                0.89165,                0.56409,                 1.5553,                0.83017,                 1.5866,               0.003367,               0.003367,               0.003367
                     70,                  1.182,                0.68655,                 1.3087,                0.83472,                0.79322,                0.87973,                0.55107,                 1.5938,                0.83587,                 1.5972,               0.003268,               0.003268,               0.003268
                     71,                 1.1542,                0.66737,                 1.2927,                0.83495,                0.80455,                0.88584,                0.54831,                 1.6401,                0.85198,                 1.6289,               0.003169,               0.003169,               0.003169
                     72,                 1.1832,                0.68239,                 1.3144,                0.81246,                0.82107,                 0.8807,                0.55546,                 1.6358,                 0.8537,                 1.6158,                0.00307,                0.00307,                0.00307
                     73,                 1.1466,                0.67061,                 1.3028,                0.85892,                0.78926,                 0.8839,                0.54336,                 1.6548,                0.88622,                  1.621,               0.002971,               0.002971,               0.002971
                     74,                  1.128,                0.65034,                 1.2917,                0.84772,                0.78926,                0.88156,                0.55069,                 1.6157,                0.83439,                 1.6139,               0.002872,               0.002872,               0.002872
                     75,                 1.1224,                0.65186,                 1.2749,                0.84245,                0.82107,                0.89151,                0.55658,                 1.6068,                 0.8385,                 1.6038,               0.002773,               0.002773,               0.002773
                     76,                 1.1417,                0.66448,                 1.2826,                0.85113,                0.80699,                 0.8931,                0.56241,                 1.5713,                0.83598,                 1.5841,               0.002674,               0.002674,               0.002674
                     77,                 1.1004,                0.62629,                 1.2757,                0.86646,                0.80318,                0.89331,                0.55483,                  1.572,                0.85151,                 1.5904,               0.002575,               0.002575,               0.002575
                     78,                 1.1252,                 0.6467,                  1.291,                0.85445,                0.80531,                0.88355,                0.56448,                  1.606,                0.83981,                 1.6129,               0.002476,               0.002476,               0.002476
                     79,                 1.1058,                0.63881,                 1.2687,                 0.8534,                0.82107,                0.88312,                0.56187,                 1.5908,                 0.8201,                 1.6225,               0.002377,               0.002377,               0.002377
                     80,                 1.1166,                0.64937,                 1.2803,                0.83648,                  0.833,                0.88834,                0.56674,                 1.5635,                0.80176,                 1.5964,               0.002278,               0.002278,               0.002278
                     81,                 1.0964,                0.63636,                 1.2688,                0.88803,                0.77263,                 0.8913,                0.56546,                 1.6008,                0.82858,                 1.6235,               0.002179,               0.002179,               0.002179
                     82,                 1.0811,                0.63771,                 1.2639,                0.84627,                0.82081,                0.88965,                0.56279,                 1.6027,                 0.8139,                 1.6165,                0.00208,                0.00208,                0.00208
                     83,                 1.0889,                0.62943,                 1.2608,                0.87784,                0.80915,                0.89374,                0.56489,                 1.6046,                0.79834,                 1.6202,               0.001981,               0.001981,               0.001981
                     84,                 1.0713,                0.62468,                 1.2518,                0.83356,                0.82306,                0.89272,                0.56061,                 1.6098,                0.80306,                 1.6218,               0.001882,               0.001882,               0.001882
                     85,                 1.0656,                0.61982,                 1.2472,                0.86882,                0.77932,                0.88932,                0.56637,                  1.563,                0.81634,                 1.6008,               0.001783,               0.001783,               0.001783
                     86,                  1.046,                0.60772,                 1.2365,                0.87296,                0.79233,                0.89231,                0.56655,                 1.5755,                0.82936,                 1.6012,               0.001684,               0.001684,               0.001684
                     87,                  1.075,                0.61134,                 1.2449,                0.89086,                0.77734,                0.89631,                 0.5632,                  1.603,                0.82034,                 1.6291,               0.001585,               0.001585,               0.001585
                     88,                 1.0506,                0.60776,                 1.2437,                0.86006,                0.79523,                0.88989,                0.56054,                 1.6162,                0.82842,                 1.6264,               0.001486,               0.001486,               0.001486
                     89,                 1.0496,                 0.6016,                 1.2346,                0.85243,                0.80716,                0.89189,                0.55554,                 1.6222,                0.81998,                 1.6298,               0.001387,               0.001387,               0.001387
                     90,                 1.0597,                0.60001,                 1.2264,                0.84202,                0.83101,                0.88924,                0.55845,                 1.6042,                 0.8257,                 1.6149,               0.001288,               0.001288,               0.001288
                     91,                0.93985,                0.54587,                 1.1527,                0.86006,                 0.7992,                0.89149,                0.55949,                 1.5999,                0.85836,                 1.6124,               0.001189,               0.001189,               0.001189
                     92,                0.91787,                 0.5107,                 1.1336,                0.84422,                0.81909,                0.88458,                0.55427,                 1.6025,                0.83769,                 1.6368,                0.00109,                0.00109,                0.00109
                     93,                0.90697,                0.50548,                 1.1447,                0.82256,                0.83864,                0.89042,                0.55382,                 1.5911,                0.81423,                 1.6425,               0.000991,               0.000991,               0.000991
                     94,                0.90526,                0.50384,                 1.1241,                0.85265,                0.78926,                0.88285,                0.55125,                 1.6144,                0.84491,                 1.6584,               0.000892,               0.000892,               0.000892
                     95,                0.88968,                0.49423,                 1.1252,                0.87734,                0.78213,                0.88655,                0.56221,                 1.5886,                 0.8264,                 1.6398,               0.000793,               0.000793,               0.000793
                     96,                0.88182,                0.49315,                 1.1312,                0.87265,                0.80377,                0.89172,                0.56653,                 1.5901,                0.80837,                  1.641,               0.000694,               0.000694,               0.000694
                     97,                0.87508,                0.48473,                 1.1152,                0.87138,                0.79469,                0.89101,                0.56875,                 1.5895,                0.80483,                 1.6471,               0.000595,               0.000595,               0.000595
                     98,                0.88602,                0.49046,                 1.1239,                 0.8323,                0.83867,                0.89225,                0.56813,                 1.5831,                0.81087,                 1.6421,               0.000496,               0.000496,               0.000496
                     99,                0.86261,                0.47805,                 1.0906,                0.85703,                0.79523,                0.88789,                0.56797,                  1.575,                0.81088,                 1.6357,               0.000397,               0.000397,               0.000397
                    100,                0.87024,                0.47993,                 1.1119,                0.86068,                0.79722,                0.88881,                0.56871,                 1.5788,                0.80244,                 1.6316,               0.000298,               0.000298,               0.000298
