                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.2323,                0.74041,                 1.4009,                0.85671,                0.80716,                0.89518,                0.56765,                 1.5392,                0.80871,                 1.6233,               0.003565,               0.003565,               0.003565
                     68,                 1.2682,                0.74682,                 1.3842,                0.86792,                 0.7992,                0.88644,                0.56197,                 1.5464,                 0.8328,                  1.618,               0.003466,               0.003466,               0.003466
                     69,                 1.2817,                0.74859,                 1.4229,                0.83524,                0.81909,                0.87844,                0.56209,                 1.5444,                0.82519,                 1.6188,               0.003367,               0.003367,               0.003367
                     70,                 1.2817,                0.77331,                 1.4216,                0.88463,                 0.7674,                0.87811,                0.55788,                 1.5925,                0.83449,                 1.6477,               0.003268,               0.003268,               0.003268
                     71,                 1.2304,                0.73425,                   1.39,                0.86987,                0.78926,                0.87939,                0.56145,                 1.5551,                0.83006,                  1.628,               0.003169,               0.003169,               0.003169
                     72,                 1.2078,                0.76101,                 1.3979,                0.83838,                 0.8171,                0.88598,                0.56035,                 1.5497,                0.82496,                 1.6357,                0.00307,                0.00307,                0.00307
                     73,                 1.2586,                0.73635,                 1.4051,                 0.8664,                 0.7833,                0.88108,                0.55873,                 1.5568,                0.83476,                 1.6296,               0.002971,               0.002971,               0.002971
                     74,                 1.2217,                0.70255,                 1.3625,                0.86175,                0.77137,                0.87401,                0.55271,                 1.5629,                0.82753,                 1.6464,               0.002872,               0.002872,               0.002872
                     75,                 1.2073,                0.70463,                 1.3678,                0.88165,                0.76541,                0.87854,                0.55577,                 1.5515,                0.82881,                 1.6249,               0.002773,               0.002773,               0.002773
                     76,                 1.2188,                0.71056,                 1.3653,                0.88073,                0.76342,                0.87944,                0.56013,                   1.56,                 0.8349,                 1.6422,               0.002674,               0.002674,               0.002674
                     77,                  1.209,                0.70109,                 1.3516,                0.86608,                0.78431,                0.88272,                 0.5616,                 1.5633,                 0.8169,                 1.6402,               0.002575,               0.002575,               0.002575
