                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.3064,                0.97204,                 1.4904,                0.84517,                0.74553,                0.85235,                0.49693,                 1.4435,                 1.0024,                   1.59,               0.005446,               0.005446,               0.005446
                     49,                 1.3057,                0.95706,                  1.478,                0.82753,                0.78728,                 0.8588,                0.49902,                 1.4461,                0.98876,                 1.5919,               0.005347,               0.005347,               0.005347
                     50,                 1.2844,                 0.9453,                 1.4579,                0.82898,                 0.7806,                0.86324,                0.51052,                 1.4117,                0.95137,                  1.572,               0.005248,               0.005248,               0.005248
                     51,                 1.2744,                0.93426,                 1.4617,                0.84481,                0.76342,                0.85065,                0.50748,                 1.4111,                0.96503,                 1.5612,               0.005149,               0.005149,               0.005149
                     52,                 1.2672,                0.92288,                 1.4388,                0.82489,                 0.7833,                0.85572,                0.51006,                 1.3959,                0.95502,                 1.5603,                0.00505,                0.00505,                0.00505
                     53,                 1.2585,                0.93295,                 1.4437,                0.85686,                0.77734,                0.86916,                0.52897,                 1.3759,                0.92878,                 1.5208,               0.004951,               0.004951,               0.004951
                     54,                   1.28,                0.93311,                 1.4694,                0.87827,                0.77457,                0.86982,                0.51685,                 1.3891,                0.91703,                 1.5396,               0.004852,               0.004852,               0.004852
                     55,                 1.2496,                0.89951,                  1.429,                0.83278,                0.79206,                0.86578,                 0.5197,                 1.3918,                0.93682,                 1.5401,               0.004753,               0.004753,               0.004753
                     56,                 1.2485,                0.91591,                 1.4272,                0.84822,                 0.7833,                0.86526,                0.50116,                 1.4416,                0.95006,                 1.5888,               0.004654,               0.004654,               0.004654
                     57,                 1.2176,                0.87795,                 1.4125,                0.85636,                0.77932,                0.86476,                0.52002,                 1.3875,                0.93321,                 1.5248,               0.004555,               0.004555,               0.004555
                     58,                 1.2129,                0.86179,                 1.3907,                0.85293,                0.76938,                0.86008,                0.51287,                 1.4257,                0.92825,                  1.559,               0.004456,               0.004456,               0.004456
                     59,                 1.2124,                0.87978,                 1.3841,                0.84462,                0.80318,                0.87064,                0.52439,                 1.3745,                0.90678,                 1.5077,               0.004357,               0.004357,               0.004357
                     60,                    1.2,                0.87095,                 1.3926,                0.86023,                0.76938,                0.85617,                0.51855,                 1.3932,                0.90197,                 1.5329,               0.004258,               0.004258,               0.004258
                     61,                 1.1792,                0.85949,                  1.379,                0.84536,                0.76075,                0.86064,                 0.5261,                  1.394,                0.92729,                 1.5322,               0.004159,               0.004159,               0.004159
                     62,                 1.2051,                0.86158,                 1.3974,                0.86598,                0.78364,                0.87325,                0.53009,                 1.3748,                0.91075,                 1.5252,                0.00406,                0.00406,                0.00406
                     63,                 1.1691,                0.84512,                 1.3781,                 0.8484,                0.78926,                0.86516,                0.52942,                 1.3872,                0.91876,                 1.4979,               0.003961,               0.003961,               0.003961
                     64,                 1.1652,                0.84551,                 1.3624,                0.85654,                0.75968,                 0.8689,                0.52755,                 1.3954,                0.91808,                 1.5144,               0.003862,               0.003862,               0.003862
