                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.8129,                 1.7536,                 2.0662,                0.63496,                0.47714,                 0.5257,                0.25458,                 1.9258,                 1.7539,                 2.2338,               0.005743,               0.005743,               0.005743
                     46,                 1.8248,                 1.7697,                 2.0766,                0.64455,                0.52883,                0.57651,                0.27273,                 1.8508,                 1.6489,                 2.1355,               0.005644,               0.005644,               0.005644
                     47,                 1.8001,                  1.707,                 2.0467,                0.69307,                0.48111,                0.57246,                0.26906,                  1.836,                 1.7255,                 2.1234,               0.005545,               0.005545,               0.005545
                     48,                 1.7927,                 1.7288,                 2.0431,                0.59699,                 0.4672,                 0.5086,                0.21223,                 2.0251,                 1.8164,                  2.275,               0.005446,               0.005446,               0.005446
                     49,                 1.7868,                 1.7089,                 2.0245,                0.61186,                0.44533,                0.51857,                0.22848,                 1.9671,                 1.7233,                  2.219,               0.005347,               0.005347,               0.005347
                     50,                 1.7373,                 1.6707,                 1.9986,                0.54551,                0.44732,                0.46656,                0.19594,                 2.0282,                 1.7866,                 2.3383,               0.005248,               0.005248,               0.005248
                     51,                 1.7516,                 1.6434,                 1.9825,                0.62887,                0.50895,                0.55967,                0.25454,                 1.8912,                 1.6539,                 2.1578,               0.005149,               0.005149,               0.005149
                     52,                 1.7409,                 1.6353,                 1.9896,                0.67594,                0.51093,                0.58518,                0.28626,                 1.8534,                  1.615,                 2.1111,                0.00505,                0.00505,                0.00505
                     53,                 1.7059,                 1.6573,                 1.9718,                 0.6732,                0.52832,                0.60306,                0.29547,                 1.8241,                 1.6075,                 2.0759,               0.004951,               0.004951,               0.004951
                     54,                 1.7123,                   1.64,                 1.9575,                0.63423,                0.48907,                0.55471,                0.28282,                  1.784,                 1.6485,                 2.0521,               0.004852,               0.004852,               0.004852
                     55,                 1.7057,                 1.5893,                 1.9447,                0.58614,                0.40557,                0.47055,                0.20854,                 1.9614,                 1.9128,                 2.2314,               0.004753,               0.004753,               0.004753
                     56,                 1.7334,                 1.6108,                 1.9714,                0.68288,                0.52485,                 0.5994,                0.29572,                 1.8009,                 1.5505,                 2.0732,               0.004654,               0.004654,               0.004654
                     57,                 1.6951,                 1.5686,                 1.9217,                0.61104,                0.51292,                0.53427,                0.24594,                 1.9111,                 1.6499,                  2.168,               0.004555,               0.004555,               0.004555
                     58,                 1.7086,                 1.5873,                 1.9467,                0.71342,                0.57853,                0.64554,                0.33166,                 1.7436,                 1.4521,                 2.0098,               0.004456,               0.004456,               0.004456
                     59,                 1.6592,                 1.5275,                 1.9137,                0.70346,                0.57455,                0.66285,                0.34507,                 1.7028,                 1.4141,                 1.9619,               0.004357,               0.004357,               0.004357
                     60,                 1.6571,                 1.5401,                 1.9204,                0.76637,                0.55268,                0.64887,                0.34761,                 1.7034,                 1.5032,                 1.9576,               0.004258,               0.004258,               0.004258
                     61,                 1.6672,                 1.5498,                  1.921,                0.70472,                0.52192,                  0.622,                0.30881,                 1.7724,                 1.5074,                 2.0233,               0.004159,               0.004159,               0.004159
                     62,                 1.6388,                 1.5451,                 1.8984,                0.75237,                0.53678,                0.64503,                0.33962,                 1.6868,                 1.4992,                 1.9551,                0.00406,                0.00406,                0.00406
                     63,                 1.6613,                 1.5326,                 1.8994,                 0.7182,                0.55865,                0.64998,                0.34218,                  1.675,                 1.4299,                 1.9296,               0.003961,               0.003961,               0.003961
                     64,                 1.6094,                 1.5048,                 1.8434,                0.74668,                0.56256,                0.65198,                0.35038,                 1.6759,                 1.4857,                 1.9376,               0.003862,               0.003862,               0.003862
                     65,                  1.617,                 1.4902,                 1.8746,                0.74344,                0.58449,                0.67825,                0.36383,                 1.6559,                 1.3719,                 1.9197,               0.003763,               0.003763,               0.003763
                     66,                  1.611,                 1.4539,                 1.8377,                0.76999,                0.56571,                0.67643,                0.34965,                 1.6879,                 1.3941,                 1.9459,               0.003664,               0.003664,               0.003664
                     67,                  1.606,                 1.4809,                 1.8585,                0.73444,                0.56461,                0.66276,                0.34696,                 1.6823,                 1.4101,                 1.9468,               0.003565,               0.003565,               0.003565
                     68,                 1.6301,                 1.4848,                 1.8707,                0.71033,                0.54871,                0.64194,                0.33015,                 1.7369,                 1.4449,                 1.9981,               0.003466,               0.003466,               0.003466
                     69,                 1.5919,                 1.4645,                 1.8447,                0.73416,                0.56002,                 0.6641,                0.35726,                 1.6518,                 1.3905,                  1.926,               0.003367,               0.003367,               0.003367
                     70,                  1.587,                 1.4386,                 1.8234,                0.78189,                0.54672,                0.66355,                 0.3469,                  1.683,                 1.3794,                 1.9348,               0.003268,               0.003268,               0.003268
                     71,                  1.588,                 1.4509,                 1.8283,                0.78361,                0.56859,                0.67937,                0.36319,                 1.6541,                 1.3561,                 1.9088,               0.003169,               0.003169,               0.003169
                     72,                 1.5426,                 1.4017,                 1.7964,                0.73497,                0.55132,                0.65677,                0.33916,                 1.6994,                 1.3933,                 1.9501,                0.00307,                0.00307,                0.00307
                     73,                 1.5453,                 1.4153,                 1.8152,                 0.7701,                0.58847,                0.68043,                0.35371,                 1.6865,                 1.3735,                 1.9521,               0.002971,               0.002971,               0.002971
                     74,                 1.5342,                 1.3918,                 1.7927,                0.81403,                0.57853,                 0.7009,                0.38717,                 1.6367,                 1.3111,                  1.886,               0.002872,               0.002872,               0.002872
                     75,                 1.5316,                 1.3759,                 1.8061,                0.78001,                0.57654,                0.68889,                0.36584,                 1.6633,                 1.3393,                 1.9063,               0.002773,               0.002773,               0.002773
                     76,                 1.5542,                 1.3993,                 1.8077,                0.77668,                0.57654,                0.69611,                0.36009,                 1.6821,                  1.336,                 1.9013,               0.002674,               0.002674,               0.002674
                     77,                 1.5087,                 1.3621,                 1.7627,                0.76435,                0.56102,                 0.6771,                0.36015,                 1.6733,                 1.3558,                 1.9085,               0.002575,               0.002575,               0.002575
